epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.36355202239264484,0.23742137849330902,0.8552672863006592,0.40610700845718384,0.51137375831604,0.40764445066452026,0.4536551535129547,0.438081830739975,0.22365796165581842,0.41262850165367126,0.9230298399925232,0.6062163710594177,0.8975818157196045,0.5311447978019714,0.6673717498779297,0.66124027967453,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
2,0.18819815687038613,0.4707547128200531,0.9351677298545837,0.66550612449646,0.9324732422828674,0.6039111018180847,0.7330600023269653,0.7304478287696838,0.17408758154612106,0.515418529510498,0.93967205286026,0.7014719247817993,0.9112426042556763,0.6481481194496155,0.7575012445449829,0.7511639595031738,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
3,0.13478134435677677,0.6094339489936829,0.9562368988990784,0.7820627093315125,0.9595630764961243,0.7340444326400757,0.8317888975143433,0.8302915096282959,0.15373939645535445,0.553597629070282,0.9455457925796509,0.7303999662399292,0.9226393699645996,0.682659924030304,0.7847121357917786,0.7771574854850769,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
4,0.10100160188644937,0.7154088020324707,0.969758927822113,0.8548225164413452,0.9717239737510681,0.8186666369438171,0.888653039932251,0.8879137635231018,0.14268569044342125,0.5903083682060242,0.9488497376441956,0.7593525648117065,0.9027196764945984,0.7264309525489807,0.8050373196601868,0.8019903302192688,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
5,0.07643866962606802,0.799371063709259,0.9796907901763916,0.903799831867218,0.9836457967758179,0.876800000667572,0.9271547794342041,0.9257102012634277,0.1389511158462838,0.5932452082633972,0.9489721059799194,0.7580308318138123,0.8961973190307617,0.7340067625045776,0.8070337772369385,0.8024449348449707,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
6,0.057725856204827626,0.8578616380691528,0.9861897230148315,0.9359652400016785,0.9911367893218994,0.9144889116287231,0.9512713551521301,0.9507099986076355,0.1303621015009551,0.6358296871185303,0.953377366065979,0.7856374382972717,0.9014925360679626,0.7626262903213501,0.8262653946876526,0.8255311846733093,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
7,0.045010484567603225,0.900314450263977,0.9904087781906128,0.955915629863739,0.9930620789527893,0.9415110945701599,0.9665997624397278,0.9661321640014648,0.13154581022857745,0.6284875273704529,0.9532549977302551,0.783165454864502,0.8935546875,0.7702020406723022,0.8273056149482727,0.8244583010673523,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
8,0.03841357018400288,0.9084905385971069,0.9915618300437927,0.9613791108131409,0.9949598908424377,0.9475555419921875,0.9706792831420898,0.9704608917236328,0.1305388216470832,0.6461086869239807,0.9544786810874939,0.7997063398361206,0.8878327012062073,0.7861952781677246,0.8339285850524902,0.833061933517456,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
9,0.030873252591996823,0.9411949515342712,0.9946540594100952,0.9767865538597107,0.9950684905052185,0.9685333371162415,0.9816216230392456,0.9815427660942078,0.12776508138524628,0.6314243674278259,0.9557024240493774,0.7958674430847168,0.8918406367301941,0.7912458181381226,0.8385370373725891,0.8372382521629333,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
10,0.02614457940671054,0.946855366230011,0.9953092336654663,0.9781206250190735,0.9965353608131409,0.9715555310249329,0.9838869571685791,0.9838824272155762,0.12841409932761816,0.6519823670387268,0.9564366340637207,0.8017866015434265,0.8984674215316772,0.7895622849464417,0.8405017852783203,0.8382185101509094,True,runs\densenet121_fullft_lr1e4\best_densenet121_multilabel.pth,True,False,42,0.5,0.0001,32,6966156
