epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.36451418531015983,0.10503144562244415,0.8621593117713928,0.1607580929994583,0.6566523313522339,0.13600000739097595,0.2253313660621643,0.22216729819774628,0.28924656093733253,0.28634360432624817,0.8974547386169434,0.4134850800037384,0.8837719559669495,0.3392255902290344,0.49026763439178467,0.4786112606525421,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
2,0.26986537069644567,0.2830188572406769,0.9008385539054871,0.4450891315937042,0.8660039901733398,0.3871999979019165,0.5351351499557495,0.5309205651283264,0.25646255579989036,0.33039647340774536,0.9067547917366028,0.5031816363334656,0.8480392098426819,0.43686869740486145,0.5766666531562805,0.5729652047157288,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
3,0.24588370128247722,0.326415091753006,0.9083595275878906,0.510948657989502,0.850923478603363,0.4586666524410248,0.596049427986145,0.5933640599250793,0.2452221290480548,0.3627019226551056,0.9122613668441772,0.5476155877113342,0.8349928855895996,0.49410775303840637,0.620835542678833,0.6162387132644653,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
4,0.2343971199022149,0.34811320900917053,0.912395179271698,0.5454166531562805,0.8434677720069885,0.4981333315372467,0.6263552308082581,0.6249809861183167,0.24105659521098705,0.36710718274116516,0.9112824201583862,0.550895094871521,0.8115746974945068,0.5075757503509521,0.6245468854904175,0.610964298248291,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
5,0.22555664114232332,0.3610062897205353,0.9147536754608154,0.5595125555992126,0.8423787355422974,0.5187555551528931,0.6420948505401611,0.6404528021812439,0.23991478861428567,0.36710718274116516,0.9137297868728638,0.5692154169082642,0.8014981150627136,0.5404040217399597,0.645550549030304,0.6413712501525879,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
6,0.2169258345223073,0.37798741459846497,0.9181603789329529,0.5773876905441284,0.8543909192085266,0.5361777544021606,0.6588749289512634,0.6580966114997864,0.23791879190134757,0.3788546323776245,0.9132403135299683,0.5708552002906799,0.804320216178894,0.5328282713890076,0.6410126686096191,0.6386528611183167,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
7,0.21026424244514802,0.38867923617362976,0.9193658232688904,0.5898772478103638,0.847328245639801,0.5525333285331726,0.6688905358314514,0.6673839688301086,0.2363839003089241,0.38913363218307495,0.9139745235443115,0.5763967633247375,0.8019925355911255,0.5420875549316406,0.646911084651947,0.6398554444313049,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
8,0.21059280185954377,0.398742139339447,0.9200995564460754,0.5989158153533936,0.845678985118866,0.5601778030395508,0.6739386320114136,0.6731528639793396,0.24068057073195426,0.3700440526008606,0.9120166301727295,0.5714635848999023,0.7815126180648804,0.5479797720909119,0.6442355513572693,0.6401687264442444,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
9,0.2033132881863312,0.40566039085388184,0.9227463603019714,0.6074610352516174,0.8515892028808594,0.5763555765151978,0.6874470114707947,0.68626469373703,0.2381655274946434,0.38032305240631104,0.9128732085227966,0.5804384350776672,0.7819905281066895,0.5555555820465088,0.6496062874794006,0.643764317035675,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
10,0.20268744303370423,0.40817609429359436,0.9229821562767029,0.6141225099563599,0.8447125554084778,0.5850666761398315,0.6913139224052429,0.6909144520759583,0.23697452767917587,0.38179147243499756,0.9118942618370056,0.5764597058296204,0.7772511839866638,0.5521885752677917,0.6456692814826965,0.6395347714424133,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
11,0.19975928851643449,0.4185534715652466,0.9240828156471252,0.6210984587669373,0.8463687300682068,0.5925333499908447,0.6970615983009338,0.696338951587677,0.23876934151729998,0.38179147243499756,0.9126284718513489,0.5806482434272766,0.775581419467926,0.56144779920578,0.6513671875,0.6515984535217285,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
12,0.1959986446413604,0.4204402565956116,0.9257075190544128,0.6253803968429565,0.853522539138794,0.5987555384635925,0.7037926912307739,0.7030118107795715,0.24380423662508463,0.3876652121543884,0.9098140001296997,0.5816586017608643,0.7530864477157593,0.5648148059844971,0.6455026268959045,0.6462117433547974,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
13,0.19670853656043047,0.4185534715652466,0.9240565896034241,0.6235752105712891,0.8374164700508118,0.6015999913215637,0.7001861929893494,0.6999137997627258,0.23763100914493007,0.37444934248924255,0.9117718935012817,0.5766449570655823,0.7724620699882507,0.5572390556335449,0.6474327445030212,0.6451517343521118,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
14,0.19447579455075772,0.4229559600353241,0.9258385896682739,0.6289443373680115,0.8487646579742432,0.6046222448348999,0.7061877250671387,0.7055563926696777,0.23955230296708413,0.38325992226600647,0.9121389985084534,0.577707827091217,0.7777777910232544,0.5538720488548279,0.6470009684562683,0.641160249710083,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
15,0.19052001494656567,0.4292452931404114,0.9261006116867065,0.6341067552566528,0.8438342809677124,0.6119111180305481,0.7093982100486755,0.7092838287353516,0.23551495778052992,0.40234947204589844,0.9143416285514832,0.6000314950942993,0.7640692591667175,0.5942760705947876,0.6685606241226196,0.6660633683204651,True,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
16,0.1906104470573881,0.4327043890953064,0.9273322820663452,0.6384501457214355,0.8484848737716675,0.6172444224357605,0.7146238684654236,0.7139897346496582,0.23569192009787904,0.40381792187690735,0.9147087335586548,0.5960177183151245,0.7831603288650513,0.5715488195419312,0.6608272790908813,0.6583914160728455,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
17,0.1875129726322942,0.44088050723075867,0.9283018708229065,0.6436612606048584,0.8483240604400635,0.6254222393035889,0.720016360282898,0.7193539142608643,0.24284683793739426,0.38913363218307495,0.9122613668441772,0.585015058517456,0.7667044401168823,0.569865345954895,0.6537904143333435,0.6522690653800964,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
18,0.18831870210995463,0.43742138147354126,0.9286163449287415,0.64665687084198,0.8470926284790039,0.6293333172798157,0.7221542000770569,0.7229659557342529,0.23940840011213668,0.3906020522117615,0.9138521552085876,0.5975596308708191,0.7665198445320129,0.5858585834503174,0.6641221642494202,0.658158540725708,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
19,0.1871645654334962,0.44465407729148865,0.9291142821311951,0.648750364780426,0.8509615659713745,0.6293333172798157,0.7235564589500427,0.7232646346092224,0.2441756983729361,0.392070472240448,0.9121389985084534,0.5948675274848938,0.7532327771186829,0.5883838534355164,0.6606805324554443,0.6595993041992188,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
20,0.1845436030963682,0.43584907054901123,0.9290880560874939,0.6476025581359863,0.8490791916847229,0.6311110854148865,0.724046528339386,0.724071741104126,0.24449171532880892,0.38032305240631104,0.911527156829834,0.5856863260269165,0.7586206793785095,0.5740740895271301,0.6535696983337402,0.6509010195732117,False,runs\densenet121_headonly_lr1e3\best_densenet121_multilabel.pth,True,True,42,0.5,0.001,32,12300
