epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.4795999212085076,0.01886792480945587,0.8203092217445374,0.04374892637133598,0.18667344748973846,0.06524444371461868,0.09669345617294312,0.09525426477193832,0.4301201815822226,0.044052861630916595,0.8476505279541016,0.0823969691991806,0.3956044018268585,0.09090909361839294,0.14784394204616547,0.1448957771062851,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
2,0.40298414346556993,0.07830188423395157,0.8557652235031128,0.11334513872861862,0.5630865693092346,0.09600000083446503,0.16403402388095856,0.15936648845672607,0.3922111820456915,0.12481644749641418,0.8635584712028503,0.21170195937156677,0.5905707478523254,0.20033669471740723,0.2991828918457031,0.29070958495140076,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
3,0.37224445766622916,0.14119496941566467,0.8671383857727051,0.21340075135231018,0.6848767399787903,0.18275555968284607,0.2885209023952484,0.2834493815898895,0.3704949004709633,0.18942731618881226,0.8728585243225098,0.31653499603271484,0.6323268413543701,0.2996633052825928,0.40662479400634766,0.3991532623767853,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
4,0.3523545738661064,0.1783018857240677,0.87395179271698,0.27962803840637207,0.7080143094062805,0.24657778441905975,0.36577004194259644,0.3615748882293701,0.35160840209710265,0.20411160588264465,0.8789770007133484,0.349028617143631,0.6712564826011658,0.32828283309936523,0.44092708826065063,0.4329932928085327,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
5,0.3402308236503001,0.19748426973819733,0.8774371147155762,0.3196220099925995,0.7027373909950256,0.29208889603614807,0.41265854239463806,0.4080182611942291,0.3402379954701478,0.22026431560516357,0.8804454207420349,0.38073211908340454,0.6591252088546753,0.3678451180458069,0.4721772074699402,0.46605193614959717,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
6,0.32913980540239585,0.21320754289627075,0.8818396329879761,0.34877246618270874,0.7232000231742859,0.3214222192764282,0.44504615664482117,0.43853071331977844,0.33232403519220116,0.22466960549354553,0.884361207485199,0.39920344948768616,0.6821589469909668,0.3829966187477112,0.49056604504585266,0.47978925704956055,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
7,0.3205882581899751,0.2286163568496704,0.8837264180183411,0.37428972125053406,0.718865156173706,0.3468444347381592,0.46792182326316833,0.4635479748249054,0.32869092750304246,0.2584434747695923,0.887053370475769,0.43619853258132935,0.6832641959190369,0.41582491993904114,0.5170068144798279,0.509515106678009,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
8,0.3146750005536109,0.23459120094776154,0.8870282769203186,0.39487797021865845,0.7268646359443665,0.3742222189903259,0.4940734803676605,0.4909401834011078,0.32433196464649205,0.23201175034046173,0.8848506808280945,0.4253152310848236,0.6627141237258911,0.4234006702899933,0.5166923403739929,0.510506272315979,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
9,0.3081549269223363,0.24339622259140015,0.8897536396980286,0.4084310233592987,0.7396889925003052,0.3889777660369873,0.5098450183868408,0.5059036612510681,0.3198212969408161,0.2599118947982788,0.8874204754829407,0.45124000310897827,0.6691918969154358,0.4461279511451721,0.5353535413742065,0.5284909605979919,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
10,0.3025706577226051,0.2490566074848175,0.8898060917854309,0.4148557186126709,0.7360372543334961,0.3935999870300293,0.5129155516624451,0.5097606182098389,0.3165534626194734,0.2569750249385834,0.8857073187828064,0.44682714343070984,0.6603535413742065,0.4402357041835785,0.5282828211784363,0.5207712054252625,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
11,0.3020292987613558,0.25754716992378235,0.8899633288383484,0.42478886246681213,0.7259188890457153,0.40728887915611267,0.5218084454536438,0.5188303589820862,0.3093860101244698,0.27165931463241577,0.8899902105331421,0.46581533551216125,0.6813048720359802,0.4570707082748413,0.5471032857894897,0.542413055896759,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
12,0.29575661417073423,0.26477986574172974,0.8914832472801208,0.43627312779426575,0.7317301630973816,0.41653332114219666,0.5308712124824524,0.527084469795227,0.30573248749437487,0.2599118947982788,0.8887665271759033,0.4560205340385437,0.6768060922622681,0.44949495792388916,0.5402124524116516,0.5359787344932556,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
13,0.2946179458930058,0.2606918215751648,0.8906446695327759,0.43320444226264954,0.7251861095428467,0.41564443707466125,0.5284212827682495,0.5262532830238342,0.30579158256757627,0.27165931463241577,0.8902349472045898,0.4669901132583618,0.6798516511917114,0.46296295523643494,0.5508262515068054,0.5451875329017639,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
14,0.2894404854414598,0.27704402804374695,0.8946540951728821,0.4558284878730774,0.7423738837242126,0.4369777739048004,0.5501343011856079,0.5489047765731812,0.306068937333845,0.2731277644634247,0.8888888955116272,0.4730193614959717,0.6658768057823181,0.47306397557258606,0.5531495809555054,0.5497658848762512,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
15,0.2887880058033661,0.2685534656047821,0.8934224247932434,0.4472566545009613,0.7328153252601624,0.4359111189842224,0.5466502904891968,0.5445735454559326,0.3026313278030894,0.2907488942146301,0.8907244205474854,0.48443469405174255,0.6753864288330078,0.4781144857406616,0.5598816871643066,0.555220901966095,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
16,0.2857784741704569,0.278616338968277,0.8953092098236084,0.4578249454498291,0.741409957408905,0.4449777901172638,0.5561604499816895,0.5547547936439514,0.29826765097185376,0.28487518429756165,0.8937836289405823,0.4817425012588501,0.6990049481391907,0.47306397557258606,0.564257025718689,0.5595600008964539,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
17,0.2831592011376747,0.2811320722103119,0.8962264060974121,0.46091270446777344,0.7499249577522278,0.444088876247406,0.5578383207321167,0.555655300617218,0.2998571952534142,0.2892804741859436,0.8934165239334106,0.48897281289100647,0.6911942362785339,0.48232322931289673,0.5681705474853516,0.5629529356956482,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
18,0.27897716217071006,0.2704402506351471,0.8954140543937683,0.4567272961139679,0.7415730357170105,0.4458666741847992,0.5569002032279968,0.5551558136940002,0.29657871647028144,0.2892804741859436,0.8951297402381897,0.49014928936958313,0.7010935544967651,0.48569023609161377,0.5738438367843628,0.568142831325531,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
19,0.27903133203398506,0.2839622497558594,0.8958595395088196,0.465212881565094,0.7394835948944092,0.4531555473804474,0.561948835849762,0.5603286623954773,0.29615905425797123,0.28634360432624817,0.8945178389549255,0.49082231521606445,0.6926714181900024,0.4932659864425659,0.5762045383453369,0.5693327784538269,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
20,0.27655508242688087,0.28144654631614685,0.8971436023712158,0.47175654768943787,0.7436926364898682,0.46115556359291077,0.5692965984344482,0.5670906901359558,0.29548550514222593,0.30690160393714905,0.8956192135810852,0.5063316822052002,0.6927502751350403,0.5067340135574341,0.5853184461593628,0.5835206508636475,True,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
21,0.2758168899413175,0.2871069312095642,0.8980607986450195,0.47796154022216797,0.7426573634147644,0.47200000286102295,0.5771738886833191,0.5753428936004639,0.29237683390905855,0.30690160393714905,0.8946402072906494,0.4983777403831482,0.6944113969802856,0.4915824830532074,0.5756530165672302,0.570600152015686,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
22,0.2738886420456868,0.3031446635723114,0.8995544910430908,0.48597219586372375,0.752964437007904,0.47413334250450134,0.5818697214126587,0.5792409777641296,0.29559972978548504,0.2951541841030121,0.8941507339477539,0.5013076066970825,0.6837314963340759,0.505892276763916,0.5815191268920898,0.5766827464103699,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
23,0.27107920365513494,0.2968553602695465,0.8997379541397095,0.4858715236186981,0.7533089518547058,0.47555556893348694,0.5830427408218384,0.5810692310333252,0.2900844969938505,0.2892804741859436,0.8964757919311523,0.4908328652381897,0.7070217728614807,0.4915824830532074,0.5799404382705688,0.5749140977859497,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
24,0.271973713801342,0.29496854543685913,0.8992400169372559,0.486599326133728,0.7441031336784363,0.48231109976768494,0.5852658748626709,0.5843104720115662,0.29157278125506664,0.30102789402008057,0.8954968452453613,0.5015226602554321,0.6955503225326538,0.5,0.5817825794219971,0.5765625834465027,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
25,0.27033791260899237,0.2971698045730591,0.8985062837600708,0.48641061782836914,0.7406593561172485,0.47928887605667114,0.5819751620292664,0.5818354487419128,0.29152005937130965,0.2980910539627075,0.8952521085739136,0.4999423325061798,0.6925753951072693,0.502525269985199,0.5824390053749084,0.5775396227836609,False,runs\efficientnet_b0_headonly_lr3e4\best_efficientnet_b0_multilabel.pth,True,True,42,0.5,0.0003,32,15372
