epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.42472238135787677,0.0003144654037896544,0.8496593236923218,0.002191535895690322,0.19565217196941376,0.006399999838322401,0.012394560500979424,0.0128767229616642,0.41401143960665676,0.0,0.8546255230903625,0.0,0.0,0.0,0.0,0.0,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
2,0.4160635216056176,0.0,0.8525943160057068,0.0,0.0,0.0,0.0,0.0,0.4093681593998588,0.0,0.8546255230903625,0.0,0.0,0.0,0.0,0.0,False,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
3,0.4126745895394739,0.0,0.8525943160057068,0.0,0.0,0.0,0.0,0.0,0.40535858155347176,0.0,0.8546255230903625,0.0,0.0,0.0,0.0,0.0,False,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
4,0.40757048242496996,0.0003144654037896544,0.8525419235229492,0.0004192872147541493,0.3333333432674408,0.0003555555595085025,0.0007103534298948944,0.0008210228406824172,0.4030512207667733,0.0,0.8546255230903625,0.0,0.0,0.0,0.0,0.0,False,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
5,0.4041020300028459,0.0,0.8525419235229492,0.00020964360737707466,0.3333333432674408,0.0003555555595085025,0.0007103534298948944,0.0007039126357994974,0.3974997156604621,0.008810572326183319,0.8551150560379028,0.010523740202188492,0.6428571343421936,0.007575757801532745,0.014975041151046753,0.012096773833036423,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
6,0.4004240703282866,0.003144653979688883,0.8527253866195679,0.006053458899259567,0.5438596606254578,0.005511111114174128,0.010911650955677032,0.010020063258707523,0.39838968932891206,0.013215859420597553,0.8552374243736267,0.01443955022841692,0.6470588445663452,0.009259259328246117,0.01825726218521595,0.01443569641560316,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
7,0.39706339393771667,0.008490566164255142,0.8530922532081604,0.012866877019405365,0.594059407711029,0.01066666655242443,0.020957037806510925,0.01832055114209652,0.4005148179293029,0.010279001668095589,0.8552374243736267,0.013338228687644005,0.6315789222717285,0.010101010091602802,0.019884010776877403,0.01587301678955555,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
8,0.39427755737454634,0.01037735864520073,0.8530922532081604,0.017688678577542305,0.5597484111785889,0.01582222245633602,0.030774550512433052,0.02649199403822422,0.3923809249583145,0.008810572326183319,0.8545031547546387,0.01566324010491371,0.48571428656578064,0.01430976390838623,0.027800491079688072,0.024382395669817924,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
9,0.39104655055130055,0.014465408399701118,0.8541404604911804,0.02729559689760208,0.6244725584983826,0.026311110705137253,0.050494711846113205,0.044754352420568466,0.38792478311779566,0.016152717173099518,0.8560940027236938,0.02190406434237957,0.699999988079071,0.017676766961812973,0.03448275849223137,0.02873481810092926,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
10,0.3862686609697042,0.016981132328510284,0.8534328937530518,0.03162474185228348,0.551948070526123,0.030222222208976746,0.05730659142136574,0.05090327933430672,0.38498100148248604,0.020558003336191177,0.856950581073761,0.035242289304733276,0.6792452931404114,0.03030303120613098,0.05801772698760033,0.050683099776506424,True,runs\vitb32_fullft_lr3e4\best_vitb32_multilabel.pth,True,False,42,0.5,0.0003,32,87464460
