epoch,train_loss,train_exact_match,train_hamming_acc,train_mean_iou,train_precision_micro,train_recall_micro,train_f1_micro,train_f1_macro,val_loss,val_exact_match,val_hamming_acc,val_mean_iou,val_precision_micro,val_recall_micro,val_f1_micro,val_f1_macro,saved_checkpoint,checkpoint_path,pretrained,freeze_backbone,seed,threshold,lr,batch_size,param_count
1,0.4647946777208796,0.1418239027261734,0.8246855139732361,0.25990644097328186,0.37372538447380066,0.2801777720451355,0.32026010751724243,0.3204638957977295,0.34623852350288203,0.2804698944091797,0.8936612606048584,0.41643592715263367,0.815841555595398,0.3468013405799866,0.48670998215675354,0.47286248207092285,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
2,0.313050694548109,0.3056603670120239,0.8993972539901733,0.466971755027771,0.8191565275192261,0.40746667981147766,0.5442241430282593,0.5348808765411377,0.284946924307973,0.3392070531845093,0.9079784750938416,0.5254667401313782,0.826347291469574,0.46464645862579346,0.5948275923728943,0.5817804336547852,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
3,0.268665363784856,0.3713836371898651,0.9135482311248779,0.5642175674438477,0.845308780670166,0.5061333179473877,0.6331591010093689,0.6276734471321106,0.25803147402979026,0.39500734210014343,0.9161772131919861,0.5871792435646057,0.833997368812561,0.5286195278167725,0.6470891237258911,0.6403619647026062,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
4,0.2448809748175759,0.402515709400177,0.9197326898574829,0.6026842594146729,0.8580212593078613,0.5457777976989746,0.6671737432479858,0.6631341576576233,0.24285377091598231,0.40381792187690735,0.9185022115707397,0.6029648184776306,0.8295454382896423,0.5530303120613098,0.6636363863945007,0.6582440733909607,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
5,0.2290869047056954,0.4204402565956116,0.9245283007621765,0.627673327922821,0.8684563636779785,0.5751110911369324,0.6919786334037781,0.688393771648407,0.23293603696311974,0.41850221157073975,0.9207048416137695,0.6204636096954346,0.8276699185371399,0.5740740895271301,0.6779323816299438,0.6721100211143494,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
6,0.21745704851060543,0.4342767298221588,0.927306056022644,0.6444968581199646,0.8719019293785095,0.5941333174705505,0.7067033052444458,0.7037599682807922,0.2253928620384653,0.41997063159942627,0.9219285249710083,0.6270715594291687,0.8273809552192688,0.5850168466567993,0.685404360294342,0.680046558380127,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
7,0.20801323367364752,0.44811320304870605,0.9296907782554626,0.6581401824951172,0.8735398650169373,0.6115555763244629,0.7194395065307617,0.7174941897392273,0.22016912309258696,0.41997063159942627,0.9216837882995605,0.6283441781997681,0.8193473219871521,0.5917508602142334,0.6871945261955261,0.6822283864021301,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
8,0.20110063147994708,0.45597484707832336,0.9314465522766113,0.6691377758979797,0.8750935196876526,0.6240000128746033,0.7285180687904358,0.7263860702514648,0.2160241891371521,0.42584434151649475,0.922173261642456,0.6336550116539001,0.8194444179534912,0.5959596037864685,0.6900584697723389,0.685757577419281,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
9,0.1944065658926214,0.4726414978504181,0.9343553185462952,0.6817112565040588,0.8853754997253418,0.6371555328369141,0.7410317659378052,0.7388412356376648,0.21276969225221093,0.4287812113761902,0.9235193133354187,0.6419761180877686,0.8180791139602661,0.6094276309013367,0.6985045671463013,0.6945552825927734,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
10,0.1883553089210822,0.48805031180381775,0.935613214969635,0.69232177734375,0.884839653968811,0.6474666595458984,0.7477671504020691,0.7460079193115234,0.21005884690344245,0.4302496314048767,0.9240087866783142,0.645524799823761,0.8153504133224487,0.6170033812522888,0.7024437189102173,0.6981067061424255,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
11,0.1841361402528091,0.4984276592731476,0.9376572370529175,0.7015120387077332,0.8901442289352417,0.658311128616333,0.7568727731704712,0.7548215985298157,0.20798038593910514,0.43171805143356323,0.924253523349762,0.6480945944786072,0.8122941851615906,0.6228955984115601,0.7050976753234863,0.7009432315826416,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
12,0.17980751114071541,0.5012578368186951,0.9384958148002625,0.7052909135818481,0.8891263008117676,0.6657778024673462,0.7614110112190247,0.7600590586662292,0.20572264914820723,0.4375917911529541,0.9255996346473694,0.653478741645813,0.8159041404724121,0.630471408367157,0.7113010287284851,0.7069058418273926,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
13,0.17620461706845267,0.5031446814537048,0.939386785030365,0.7092977166175842,0.8918598890304565,0.6700444221496582,0.7652015089988708,0.7639588713645935,0.20444749422623024,0.44199705123901367,0.9253548979759216,0.6565625071525574,0.812095046043396,0.6329966187477112,0.7114474773406982,0.7071409225463867,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
14,0.1722008488463156,0.5169811248779297,0.9412997961044312,0.7189674973487854,0.8964628577232361,0.6803555488586426,0.773600161075592,0.772101640701294,0.20289759600477597,0.44199705123901367,0.9253548979759216,0.6583385467529297,0.8081023693084717,0.6380471587181091,0.7130761742591858,0.7087659239768982,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
15,0.16932970208566894,0.5207546949386597,0.94127357006073,0.721978485584259,0.8911234140396118,0.6853333115577698,0.7747964859008789,0.7737024426460266,0.20157284262246847,0.44640234112739563,0.9254772663116455,0.660785973072052,0.805057942867279,0.6430976390838623,0.7150210738182068,0.7112924456596375,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
16,0.1669182096449834,0.5226414799690247,0.9424266219139099,0.7257390022277832,0.8938419222831726,0.6915555596351624,0.7797935009002686,0.7787647247314453,0.2002808988181855,0.44640234112739563,0.925966739654541,0.6606146097183228,0.8097768425941467,0.6414141654968262,0.7158290147781372,0.7120184898376465,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
17,0.16311892235429032,0.5301886796951294,0.9433700442314148,0.7313154935836792,0.8965201377868652,0.6961777806282043,0.7837486267089844,0.7824998497962952,0.19959094457426785,0.44933921098709106,0.9263338446617126,0.6630270481109619,0.8117021322250366,0.6422559022903442,0.7171052694320679,0.7131648659706116,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
18,0.16116263214147317,0.5289308428764343,0.9433438181877136,0.7281184792518616,0.899976909160614,0.6926222443580627,0.7828009128570557,0.7817813754081726,0.19866226967998538,0.45521292090415955,0.9273127913475037,0.666942834854126,0.8146186470985413,0.6473063826560974,0.7213883399963379,0.7176568508148193,True,runs\vitb32_headonly_lr3e4\best_vitb32_multilabel.pth,True,True,42,0.5,0.0003,32,9228
